,Entity,Year,GHG,Total (CO₂),Coal (CO₂),Oil (CO₂),Gas (CO₂),Cement (CO₂),Flaring (CO₂),Other (CO₂),Per Capita (CO₂)
32005,World,1850,4219061200.0,196751966.0,196751966.0,,,,,,155821.0
32006,World,1851,4409311000.0,198668099.0,198668099.0,,,,,,156539.0
32007,World,1852,4465078300.0,207414216.0,207414216.0,,,,,,162602.0
32008,World,1853,4532813300.0,217120439.0,217120439.0,,,,,,169348.0
32009,World,1854,4594583600.0,255033169.0,255033169.0,,,,,,197911.0
32010,World,1855,4572071400.0,260104394.0,260067754.0,36640.0,,,,,200825.0
32011,World,1856,4690924500.0,277296446.0,277256142.0,40304.0,,,,,213015.0
32012,World,1857,4683661000.0,279932016.0,279880720.0,51296.0,,,,,213950.0
32013,World,1858,4718894600.0,284225155.0,284162867.0,62288.0,,,,,216131.0
32014,World,1859,4810028000.0,301481265.0,301426311.0,54955.0,,,,,228090.0
32015,World,1860,4593481700.0,330962580.0,330684651.0,277929.0,,,,,249124.0
32016,World,1861,4605667300.0,347785813.0,346838500.0,947313.0,,,,,260457.0
32017,World,1862,4592632300.0,354488905.0,353084815.0,1404090.0,,,,,264126.0
32018,World,1863,4594464300.0,378180143.0,376882432.0,1297711.0,,,,,280341.0
32019,World,1864,4547105300.0,407725974.0,406611381.0,1114593.0,,,,,300699.0
32020,World,1865,4535310300.0,432859129.0,431535311.0,1323818.0,,,,,317601.0
32021,World,1866,4597011000.0,446553587.0,444581057.0,1972530.0,,,,,325968.0
32022,World,1867,4599316000.0,478160748.0,476154306.0,2006443.0,,,,,347244.0
32023,World,1868,4588681000.0,491551955.0,489251049.0,2300906.0,,,,,355127.0
32024,World,1869,4675858000.0,521954204.0,519320257.0,2633947.0,,,,,375140.0
32025,World,1870,4945148000.0,533338247.0,530182961.0,3155287.0,,,,,381332.0
32026,World,1871,5014069000.0,566891374.0,563571874.0,3319500.0,,,,,403211.0
32027,World,1872,5297401300.0,627301250.0,623565777.0,3735473.0,,,,,443846.0
32028,World,1873,5287834000.0,666481221.0,660788828.0,5692394.0,,,,,469093.0
32029,World,1874,5458159600.0,624232525.0,617965358.0,6267167.0,,,,,437043.0
32030,World,1875,5621640000.0,677113824.0,671255575.0,5858248.0,,,,,471560.0
32031,World,1876,5673683000.0,686780225.0,680220238.0,6559988.0,,,,,475752.0
32032,World,1877,5607008000.0,700404401.0,691561159.0,8843243.0,,,,,482602.0
32033,World,1878,5727372300.0,705973560.0,695906243.0,10067317.0,,,,,483833.0
32034,World,1879,5793445400.0,755990481.0,743307336.0,12683145.0,,,,,515323.0
32035,World,1880,6027994000.0,853916412.0,838523796.0,15392444.0,,172.0,,,578927.0
32036,World,1881,6074859000.0,883544062.0,866277839.0,17266015.0,,208.0,,,595759.0
32037,World,1882,6324752000.0,933360136.0,914231372.0,18963614.0,164880.0,270.0,,,625913.0
32038,World,1883,6328190000.0,992753605.0,975841950.0,16530256.999999998,381051.0,348.0,,,662089.0
32039,World,1884,6507302400.0,1004134081.0,984619405.0,18341863.0,1172480.0,333.0,,,665984.0
32040,World,1885,6527370000.0,1011637132.0,988945206.0,18976285.0,3715296.0,345.0,,,667240.0
32041,World,1886,6471709700.0,1027417512.0,997899885.0,21841173.0,7676080.0,374.0,,,673871.0
32042,World,1887,6688979500.0,1078746830.0,1043463859.0,23495327.0,11787088.0,556.0,,,703571.0
32043,World,1888,6707763000.0,1194352645.0,1152984402.0,24593911.0,16773792.0,541.0,,,774581.0
32044,World,1889,6833890300.0,1194624065.0,1153973134.0,28423582.0,12226768.0,582.0,,,770366.0
32045,World,1890,7247878000.0,1300362305.0,1254006522.0,34667065.0,11688053.0,665.0,,,833774.0
32046,World,1891,7542617600.0,1361750180.0,1311956402.0,40845607.0,8947488.0,684.0,,,868130.0
32047,World,1892,7510893600.0,1372396480.0,1324398641.0,40222102.0,7775008.0,728.0,,,869874.0
32048,World,1893,7691345400.0,1355477341.0,1305624255.0,42564724.0,7287696.0,665.0,,,854169.0
32049,World,1894,7778905600.0,1403019165.0,1354596290.0,41724330.0,6697850.0,695.0,,,878973.0
32050,World,1895,7894431000.0,1487432377.0,1431832679.0,48556818.0,7042154.0,726.0,,,926390.0
32051,World,1896,7899118600.0,1536365610.0,1476926353.0,52590502.0,6847964.0,791.0,,,951221.0
32052,World,1897,8156441000.0,1609231563.0,1546389124.0,55553883.0,7287643.0,914.0,,,990421.0
32053,World,1898,8223389700.0,1697166412.0,1631507211.0,57198017.0,8460176.0,1007.0,,,1038304.0
32054,World,1899,8505797000.0,1853709219.0,1782736184.0,60067681.0,10904064.0,1290.0,,,1127263.0
32055,World,1900,8691973000.0,1952209484.0,1873319263.0,67347226.0,11541600.0,1395.0,,,1179988.0
32056,World,1901,8804860000.0,2016744479.0,1929100736.0,74781437.0,12860640.0,1666.0,,,1211361.0
32057,World,1902,8971303000.0,2067683948.0,1973145779.0,80839979.0,13696032.0,2158.0,,,1233733.0
32058,World,1903,9167074000.0,2254100150.0,2153965337.0,85604504.0,14527760.0,2548.0,,,1335660.0
32059,World,1904,9294472000.0,2279747415.0,2166615932.0,96129751.0,15165234.0,2749.0,,,1341202.0
32060,World,1905,9621012000.0,2427318378.0,2311082903.0,97082009.0,17169504.0,3512.0,,,1417572.0
32061,World,1906,9775443000.0,2534733237.0,2415614282.0,97960155.0,19027152.0,4497.0,,,1469314.0
32062,World,1907,10097672000.0,2888317990.0,2746872007.0,119510414.0,19877139.0,4630.0,,,1661765.0
32063,World,1908,10077375000.0,2776440937.0,2625934932.0,128881170.0,19675680.0,115405.0,,,1585474.0
32064,World,1909,10333530000.0,2890494781.0,2730045415.0,134463647.0,23522878.0,115641.0,,,1638388.0
32065,World,1910,10307977000.0,3034089816.0,2862502946.0,144189068.0,24915200.0,135402.0,,,1707254.0
32066,World,1911,10461305000.0,3079502007.0,2898434445.0,152927983.0,25717653.0,148075.0,,,1720413.0
32067,World,1912,10507465000.0,3235963615.0,3047815550.0,157308772.0,28315392.0,176700.0,,,1795035.0
32068,World,1913,10655274000.0,3506275759.0,3291914637.0,182140055.0,29597792.0,202725.0,,,1931294.0
32069,World,1914,10391972000.0,3180355578.0,2961655396.0,186143236.0,30136463.0,146633.0,,,1739435.0
32070,World,1915,10335395000.0,3134854059.0,2902743675.0,197663781.0,31865750.0,160302.0,,,1702391.0
32071,World,1916,10589467000.0,3385858400.0,3129284267.0,215302057.0,38376810.0,181316.0,,,1825502.0
32072,World,1917,10808521000.0,3540426697.0,3257806520.0,239468899.0,40509124.0,148254.0,,,1894896.0
32073,World,1918,10762877000.0,3493264139.0,3209437731.0,245060582.0,36519090.0,119586.0,,,1855693.0
